year_month,year,month,quarter,ndc_11,ndc_9,product_id,brand_name,strength,package_size,units_sold,packages_sold,wac_per_unit,gross_sales_dollars,data_source
2021-04,2021,4,2,597015230,5970152,JARDIANCE,Jardiance,10mg,30,662055,22068,17.5,11585962.5,SAP_DSR
2021-04,2021,4,2,597015290,5970152,JARDIANCE,Jardiance,10mg,90,245185,2724,17.5,4290737.5,SAP_DSR
2021-04,2021,4,2,597015307,5970153,JARDIANCE,Jardiance,25mg,7,121395,17342,17.5,2124412.5,SAP_DSR
2021-04,2021,4,2,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1187416,39580,17.5,20779780.0,SAP_DSR
2021-04,2021,4,2,597015390,5970153,JARDIANCE,Jardiance,25mg,90,460688,5118,17.5,8062040.0,SAP_DSR
2021-05,2021,5,2,597015207,5970152,JARDIANCE,Jardiance,10mg,7,59343,8477,17.5,1038502.5,SAP_DSR
2021-05,2021,5,2,597015230,5970152,JARDIANCE,Jardiance,10mg,30,733339,24444,17.5,12833432.5,SAP_DSR
2021-05,2021,5,2,597015290,5970152,JARDIANCE,Jardiance,10mg,90,243851,2709,17.5,4267392.5,SAP_DSR
2021-05,2021,5,2,597015307,5970153,JARDIANCE,Jardiance,25mg,7,110660,15808,17.5,1936550.0,SAP_DSR
2021-05,2021,5,2,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1452933,48431,17.5,25426327.5,SAP_DSR
2021-05,2021,5,2,597015390,5970153,JARDIANCE,Jardiance,25mg,90,529963,5888,17.5,9274352.5,SAP_DSR
2021-06,2021,6,2,597015207,5970152,JARDIANCE,Jardiance,10mg,7,62863,8980,17.5,1100102.5,SAP_DSR
2021-06,2021,6,2,597015230,5970152,JARDIANCE,Jardiance,10mg,30,661715,22057,17.5,11580012.5,SAP_DSR
2021-06,2021,6,2,597015290,5970152,JARDIANCE,Jardiance,10mg,90,271322,3014,17.5,4748135.0,SAP_DSR
2021-06,2021,6,2,597015307,5970153,JARDIANCE,Jardiance,25mg,7,120040,17148,17.5,2100700.0,SAP_DSR
2021-06,2021,6,2,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1235412,41180,17.5,21619710.0,SAP_DSR
2021-06,2021,6,2,597015390,5970153,JARDIANCE,Jardiance,25mg,90,485508,5394,17.5,8496390.0,SAP_DSR
2021-07,2021,7,3,597015207,5970152,JARDIANCE,Jardiance,10mg,7,60451,8635,17.5,1057892.5,SAP_DSR
2021-07,2021,7,3,597015230,5970152,JARDIANCE,Jardiance,10mg,30,584995,19499,17.5,10237412.5,SAP_DSR
2021-07,2021,7,3,597015290,5970152,JARDIANCE,Jardiance,10mg,90,230773,2564,17.5,4038527.5,SAP_DSR
2021-07,2021,7,3,597015307,5970153,JARDIANCE,Jardiance,25mg,7,99864,14266,17.5,1747620.0,SAP_DSR
2021-07,2021,7,3,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1146072,38202,17.5,20056260.0,SAP_DSR
2021-07,2021,7,3,597015390,5970153,JARDIANCE,Jardiance,25mg,90,418965,4655,17.5,7331887.5,SAP_DSR
2021-08,2021,8,3,597015207,5970152,JARDIANCE,Jardiance,10mg,7,61351,8764,17.5,1073642.5,SAP_DSR
2021-08,2021,8,3,597015230,5970152,JARDIANCE,Jardiance,10mg,30,650875,21695,17.5,11390312.5,SAP_DSR
2021-08,2021,8,3,597015290,5970152,JARDIANCE,Jardiance,10mg,90,244056,2711,17.5,4270980.0,SAP_DSR
2021-08,2021,8,3,597015307,5970153,JARDIANCE,Jardiance,25mg,7,112381,16054,17.5,1966667.5,SAP_DSR
2021-08,2021,8,3,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1168156,38938,17.5,20442730.0,SAP_DSR
2021-08,2021,8,3,597015390,5970153,JARDIANCE,Jardiance,25mg,90,451779,5019,17.5,7906132.5,SAP_DSR
2021-09,2021,9,3,597015207,5970152,JARDIANCE,Jardiance,10mg,7,54697,7813,17.5,957197.5,SAP_DSR
2021-09,2021,9,3,597015230,5970152,JARDIANCE,Jardiance,10mg,30,582360,19412,17.5,10191300.0,SAP_DSR
2021-09,2021,9,3,597015290,5970152,JARDIANCE,Jardiance,10mg,90,224817,2497,17.5,3934297.5,SAP_DSR
2021-09,2021,9,3,597015307,5970153,JARDIANCE,Jardiance,25mg,7,105749,15107,17.5,1850607.5,SAP_DSR
2021-09,2021,9,3,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1135331,37844,17.5,19868292.5,SAP_DSR
2021-09,2021,9,3,597015390,5970153,JARDIANCE,Jardiance,25mg,90,461076,5123,17.5,8068830.0,SAP_DSR
2021-10,2021,10,4,597015207,5970152,JARDIANCE,Jardiance,10mg,7,61311,8758,17.5,1072942.5,SAP_DSR
2021-10,2021,10,4,597015230,5970152,JARDIANCE,Jardiance,10mg,30,711352,23711,17.5,12448660.0,SAP_DSR
2021-10,2021,10,4,597015290,5970152,JARDIANCE,Jardiance,10mg,90,238064,2645,17.5,4166120.0,SAP_DSR
2021-10,2021,10,4,597015307,5970153,JARDIANCE,Jardiance,25mg,7,126278,18039,17.5,2209865.0,SAP_DSR
2021-10,2021,10,4,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1198439,39947,17.5,20972682.5,SAP_DSR
2021-10,2021,10,4,597015390,5970153,JARDIANCE,Jardiance,25mg,90,522710,5807,17.5,9147425.0,SAP_DSR
2021-11,2021,11,4,597015207,5970152,JARDIANCE,Jardiance,10mg,7,65644,9377,17.5,1148770.0,SAP_DSR
2021-11,2021,11,4,597015230,5970152,JARDIANCE,Jardiance,10mg,30,692395,23079,17.5,12116912.5,SAP_DSR
2021-11,2021,11,4,597015290,5970152,JARDIANCE,Jardiance,10mg,90,297041,3300,17.5,5198217.5,SAP_DSR
2021-11,2021,11,4,597015307,5970153,JARDIANCE,Jardiance,25mg,7,135094,19299,17.5,2364145.0,SAP_DSR
2021-11,2021,11,4,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1492360,49745,17.5,26116300.0,SAP_DSR
2021-11,2021,11,4,597015390,5970153,JARDIANCE,Jardiance,25mg,90,547062,6078,17.5,9573585.0,SAP_DSR
2021-12,2021,12,4,597015207,5970152,JARDIANCE,Jardiance,10mg,7,62392,8913,17.5,1091860.0,SAP_DSR
2021-12,2021,12,4,597015230,5970152,JARDIANCE,Jardiance,10mg,30,652047,21734,17.5,11410822.5,SAP_DSR
2021-12,2021,12,4,597015290,5970152,JARDIANCE,Jardiance,10mg,90,275492,3061,17.5,4821110.0,SAP_DSR
2021-12,2021,12,4,597015307,5970153,JARDIANCE,Jardiance,25mg,7,122187,17455,17.5,2138272.5,SAP_DSR
2021-12,2021,12,4,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1267357,42245,17.5,22178747.5,SAP_DSR
2021-12,2021,12,4,597015390,5970153,JARDIANCE,Jardiance,25mg,90,435353,4837,17.5,7618677.5,SAP_DSR
2022-01,2022,1,1,597015207,5970152,JARDIANCE,Jardiance,10mg,7,81614,11659,18.25,1489455.5,SAP_DSR
2022-01,2022,1,1,597015230,5970152,JARDIANCE,Jardiance,10mg,30,972999,32433,18.25,17757231.75,SAP_DSR
2022-01,2022,1,1,597015290,5970152,JARDIANCE,Jardiance,10mg,90,347590,3862,18.25,6343517.5,SAP_DSR
2022-01,2022,1,1,597015307,5970153,JARDIANCE,Jardiance,25mg,7,169223,24174,18.25,3088319.75,SAP_DSR
2022-01,2022,1,1,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1718062,57268,18.25,31354631.5,SAP_DSR
2022-01,2022,1,1,597015390,5970153,JARDIANCE,Jardiance,25mg,90,580443,6449,18.25,10593084.75,SAP_DSR
2022-02,2022,2,1,597015207,5970152,JARDIANCE,Jardiance,10mg,7,90761,12965,18.25,1656388.25,SAP_DSR
2022-02,2022,2,1,597015230,5970152,JARDIANCE,Jardiance,10mg,30,960519,32017,18.25,17529471.75,SAP_DSR
2022-02,2022,2,1,597015290,5970152,JARDIANCE,Jardiance,10mg,90,363750,4041,18.25,6638437.5,SAP_DSR
2022-02,2022,2,1,597015307,5970153,JARDIANCE,Jardiance,25mg,7,160003,22857,18.25,2920054.75,SAP_DSR
2022-02,2022,2,1,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1770237,59007,18.25,32306825.25,SAP_DSR
2022-02,2022,2,1,597015390,5970153,JARDIANCE,Jardiance,25mg,90,631522,7016,18.25,11525276.5,SAP_DSR
2022-03,2022,3,1,597015207,5970152,JARDIANCE,Jardiance,10mg,7,67808,9686,18.25,1237496.0,SAP_DSR
2022-03,2022,3,1,597015230,5970152,JARDIANCE,Jardiance,10mg,30,733518,24450,18.25,13386703.5,SAP_DSR
2022-03,2022,3,1,597015290,5970152,JARDIANCE,Jardiance,10mg,90,302344,3359,18.25,5517778.0,SAP_DSR
2022-03,2022,3,1,597015307,5970153,JARDIANCE,Jardiance,25mg,7,131572,18796,18.25,2401189.0,SAP_DSR
2022-03,2022,3,1,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1505687,50189,18.25,27478787.75,SAP_DSR
2022-03,2022,3,1,597015390,5970153,JARDIANCE,Jardiance,25mg,90,591139,6568,18.25,10788286.75,SAP_DSR
2022-04,2022,4,2,597015207,5970152,JARDIANCE,Jardiance,10mg,7,71486,10212,18.25,1304619.5,SAP_DSR
2022-04,2022,4,2,597015230,5970152,JARDIANCE,Jardiance,10mg,30,841629,28054,18.25,15359729.25,SAP_DSR
2022-04,2022,4,2,597015290,5970152,JARDIANCE,Jardiance,10mg,90,275372,3059,18.25,5025539.0,SAP_DSR
2022-04,2022,4,2,597015307,5970153,JARDIANCE,Jardiance,25mg,7,123746,17678,18.25,2258364.5,SAP_DSR
2022-04,2022,4,2,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1424495,47483,18.25,25997033.75,SAP_DSR
2022-04,2022,4,2,597015390,5970153,JARDIANCE,Jardiance,25mg,90,504098,5601,18.25,9199788.5,SAP_DSR
2022-05,2022,5,2,597015207,5970152,JARDIANCE,Jardiance,10mg,7,84320,12045,18.25,1538840.0,SAP_DSR
2022-05,2022,5,2,597015230,5970152,JARDIANCE,Jardiance,10mg,30,896997,29899,18.25,16370195.25,SAP_DSR
2022-05,2022,5,2,597015290,5970152,JARDIANCE,Jardiance,10mg,90,341307,3792,18.25,6228852.75,SAP_DSR
2022-05,2022,5,2,597015307,5970153,JARDIANCE,Jardiance,25mg,7,156464,22352,18.25,2855468.0,SAP_DSR
2022-05,2022,5,2,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1520849,50694,18.25,27755494.25,SAP_DSR
2022-05,2022,5,2,597015390,5970153,JARDIANCE,Jardiance,25mg,90,636345,7070,18.25,11613296.25,SAP_DSR
2022-06,2022,6,2,597015207,5970152,JARDIANCE,Jardiance,10mg,7,76952,10993,18.25,1404374.0,SAP_DSR
2022-06,2022,6,2,597015230,5970152,JARDIANCE,Jardiance,10mg,30,860619,28687,18.25,15706296.75,SAP_DSR
2022-06,2022,6,2,597015290,5970152,JARDIANCE,Jardiance,10mg,90,279425,3104,18.25,5099506.25,SAP_DSR
2022-06,2022,6,2,597015307,5970153,JARDIANCE,Jardiance,25mg,7,124133,17733,18.25,2265427.25,SAP_DSR
2022-06,2022,6,2,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1400388,46679,18.25,25557081.0,SAP_DSR
2022-06,2022,6,2,597015390,5970153,JARDIANCE,Jardiance,25mg,90,530684,5896,18.25,9684983.0,SAP_DSR
2022-07,2022,7,3,597015207,5970152,JARDIANCE,Jardiance,10mg,7,78606,11229,18.615,1463250.69,SAP_DSR
2022-07,2022,7,3,597015230,5970152,JARDIANCE,Jardiance,10mg,30,726955,24231,18.615,13532267.32,SAP_DSR
2022-07,2022,7,3,597015290,5970152,JARDIANCE,Jardiance,10mg,90,293896,3265,18.615,5470874.04,SAP_DSR
2022-07,2022,7,3,597015307,5970153,JARDIANCE,Jardiance,25mg,7,133910,19130,18.615,2492734.65,SAP_DSR
2022-07,2022,7,3,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1414509,47150,18.615,26331085.03,SAP_DSR
2022-07,2022,7,3,597015390,5970153,JARDIANCE,Jardiance,25mg,90,503230,5591,18.615,9367626.45,SAP_DSR
2022-08,2022,8,3,597015207,5970152,JARDIANCE,Jardiance,10mg,7,72365,10337,18.615,1347074.48,SAP_DSR
2022-08,2022,8,3,597015230,5970152,JARDIANCE,Jardiance,10mg,30,705387,23512,18.615,13130779.0,SAP_DSR
2022-08,2022,8,3,597015290,5970152,JARDIANCE,Jardiance,10mg,90,266906,2965,18.615,4968455.19,SAP_DSR
2022-08,2022,8,3,597015307,5970153,JARDIANCE,Jardiance,25mg,7,128469,18352,18.615,2391450.43,SAP_DSR
2022-08,2022,8,3,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1320986,44032,18.615,24590154.39,SAP_DSR
2022-08,2022,8,3,597015390,5970153,JARDIANCE,Jardiance,25mg,90,540423,6004,18.615,10059974.14,SAP_DSR
2022-09,2022,9,3,597015207,5970152,JARDIANCE,Jardiance,10mg,7,73531,10504,18.615,1368779.56,SAP_DSR
2022-09,2022,9,3,597015230,5970152,JARDIANCE,Jardiance,10mg,30,850625,28354,18.615,15834384.37,SAP_DSR
2022-09,2022,9,3,597015290,5970152,JARDIANCE,Jardiance,10mg,90,297163,3301,18.615,5531689.24,SAP_DSR
2022-09,2022,9,3,597015307,5970153,JARDIANCE,Jardiance,25mg,7,137507,19643,18.615,2559692.8,SAP_DSR
2022-09,2022,9,3,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1434202,47806,18.615,26697670.23,SAP_DSR
2022-09,2022,9,3,597015390,5970153,JARDIANCE,Jardiance,25mg,90,587359,6526,18.615,10933687.78,SAP_DSR
2022-10,2022,10,4,597015207,5970152,JARDIANCE,Jardiance,10mg,7,69060,9865,18.615,1285551.9,SAP_DSR
2022-10,2022,10,4,597015230,5970152,JARDIANCE,Jardiance,10mg,30,797579,26585,18.615,14846933.08,SAP_DSR
2022-10,2022,10,4,597015290,5970152,JARDIANCE,Jardiance,10mg,90,328242,3647,18.615,6110224.83,SAP_DSR
2022-10,2022,10,4,597015307,5970153,JARDIANCE,Jardiance,25mg,7,133554,19079,18.615,2486107.71,SAP_DSR
2022-10,2022,10,4,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1439760,47992,18.615,26801132.4,SAP_DSR
2022-10,2022,10,4,597015390,5970153,JARDIANCE,Jardiance,25mg,90,562385,6248,18.615,10468796.77,SAP_DSR
2022-11,2022,11,4,597015207,5970152,JARDIANCE,Jardiance,10mg,7,79059,11294,18.615,1471683.28,SAP_DSR
2022-11,2022,11,4,597015230,5970152,JARDIANCE,Jardiance,10mg,30,948532,31617,18.615,17656923.18,SAP_DSR
2022-11,2022,11,4,597015290,5970152,JARDIANCE,Jardiance,10mg,90,350888,3898,18.615,6531780.12,SAP_DSR
2022-11,2022,11,4,597015307,5970153,JARDIANCE,Jardiance,25mg,7,146688,20955,18.615,2730597.12,SAP_DSR
2022-11,2022,11,4,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1780661,59355,18.615,33147004.51,SAP_DSR
2022-11,2022,11,4,597015390,5970153,JARDIANCE,Jardiance,25mg,90,602873,6698,18.615,11222480.9,SAP_DSR
2022-12,2022,12,4,597015207,5970152,JARDIANCE,Jardiance,10mg,7,83482,11926,18.615,1554017.43,SAP_DSR
2022-12,2022,12,4,597015230,5970152,JARDIANCE,Jardiance,10mg,30,900815,30027,18.615,16768671.22,SAP_DSR
2022-12,2022,12,4,597015290,5970152,JARDIANCE,Jardiance,10mg,90,298591,3317,18.615,5558271.46,SAP_DSR
2022-12,2022,12,4,597015307,5970153,JARDIANCE,Jardiance,25mg,7,161131,23018,18.615,2999453.56,SAP_DSR
2022-12,2022,12,4,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1601519,53383,18.615,29812276.18,SAP_DSR
2022-12,2022,12,4,597015390,5970153,JARDIANCE,Jardiance,25mg,90,566151,6290,18.615,10538900.86,SAP_DSR
2023-01,2023,1,1,597015207,5970152,JARDIANCE,Jardiance,10mg,7,98090,14012,19.15,1878423.5,SAP_DSR
2023-01,2023,1,1,597015230,5970152,JARDIANCE,Jardiance,10mg,30,1097365,36578,19.15,21014539.75,SAP_DSR
2023-01,2023,1,1,597015290,5970152,JARDIANCE,Jardiance,10mg,90,348099,3867,19.15,6666095.85,SAP_DSR
2023-01,2023,1,1,597015307,5970153,JARDIANCE,Jardiance,25mg,7,179348,25621,19.15,3434514.2,SAP_DSR
2023-01,2023,1,1,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1860416,62013,19.15,35626966.4,SAP_DSR
2023-01,2023,1,1,597015390,5970153,JARDIANCE,Jardiance,25mg,90,736441,8182,19.15,14102845.15,SAP_DSR
2023-02,2023,2,1,597015207,5970152,JARDIANCE,Jardiance,10mg,7,97876,13982,19.15,1874325.4,SAP_DSR
2023-02,2023,2,1,597015230,5970152,JARDIANCE,Jardiance,10mg,30,1013548,33784,19.15,19409444.2,SAP_DSR
2023-02,2023,2,1,597015290,5970152,JARDIANCE,Jardiance,10mg,90,410044,4556,19.15,7852342.6,SAP_DSR
2023-02,2023,2,1,597015307,5970153,JARDIANCE,Jardiance,25mg,7,162391,23198,19.15,3109787.65,SAP_DSR
2023-02,2023,2,1,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1864713,62157,19.15,35709253.95,SAP_DSR
2023-02,2023,2,1,597015390,5970153,JARDIANCE,Jardiance,25mg,90,646199,7179,19.15,12374710.85,SAP_DSR
2023-03,2023,3,1,597015207,5970152,JARDIANCE,Jardiance,10mg,7,109040,15577,19.15,2088116.0,SAP_DSR
2023-03,2023,3,1,597015230,5970152,JARDIANCE,Jardiance,10mg,30,1061282,35376,19.15,20323550.3,SAP_DSR
2023-03,2023,3,1,597015290,5970152,JARDIANCE,Jardiance,10mg,90,418530,4650,19.15,8014849.5,SAP_DSR
2023-03,2023,3,1,597015307,5970153,JARDIANCE,Jardiance,25mg,7,200239,28605,19.15,3834576.85,SAP_DSR
2023-03,2023,3,1,597015330,5970153,JARDIANCE,Jardiance,25mg,30,2094090,69803,19.15,40101823.5,SAP_DSR
2023-03,2023,3,1,597015390,5970153,JARDIANCE,Jardiance,25mg,90,757638,8418,19.15,14508767.7,SAP_DSR
2023-04,2023,4,2,597015207,5970152,JARDIANCE,Jardiance,10mg,7,79627,11375,19.15,1524857.05,SAP_DSR
2023-04,2023,4,2,597015230,5970152,JARDIANCE,Jardiance,10mg,30,1029252,34308,19.15,19710175.8,SAP_DSR
2023-04,2023,4,2,597015290,5970152,JARDIANCE,Jardiance,10mg,90,374495,4161,19.15,7171579.25,SAP_DSR
2023-04,2023,4,2,597015307,5970153,JARDIANCE,Jardiance,25mg,7,165266,23609,19.15,3164843.9,SAP_DSR
2023-04,2023,4,2,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1713783,57126,19.15,32818944.45,SAP_DSR
2023-04,2023,4,2,597015390,5970153,JARDIANCE,Jardiance,25mg,90,624504,6938,19.15,11959251.6,SAP_DSR
2023-05,2023,5,2,597015207,5970152,JARDIANCE,Jardiance,10mg,7,99103,14157,19.15,1897822.45,SAP_DSR
2023-05,2023,5,2,597015230,5970152,JARDIANCE,Jardiance,10mg,30,1088115,36270,19.15,20837402.25,SAP_DSR
2023-05,2023,5,2,597015290,5970152,JARDIANCE,Jardiance,10mg,90,387803,4308,19.15,7426427.45,SAP_DSR
2023-05,2023,5,2,597015307,5970153,JARDIANCE,Jardiance,25mg,7,175351,25050,19.15,3357971.65,SAP_DSR
2023-05,2023,5,2,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1719587,57319,19.15,32930091.05,SAP_DSR
2023-05,2023,5,2,597015390,5970153,JARDIANCE,Jardiance,25mg,90,635874,7065,19.15,12176987.1,SAP_DSR
2023-06,2023,6,2,597015207,5970152,JARDIANCE,Jardiance,10mg,7,93318,13331,19.15,1787039.7,SAP_DSR
2023-06,2023,6,2,597015230,5970152,JARDIANCE,Jardiance,10mg,30,906444,30214,19.15,17358402.6,SAP_DSR
2023-06,2023,6,2,597015290,5970152,JARDIANCE,Jardiance,10mg,90,336361,3737,19.15,6441313.15,SAP_DSR
2023-06,2023,6,2,597015307,5970153,JARDIANCE,Jardiance,25mg,7,175242,25034,19.15,3355884.3,SAP_DSR
2023-06,2023,6,2,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1681852,56061,19.15,32207465.8,SAP_DSR
2023-06,2023,6,2,597015390,5970153,JARDIANCE,Jardiance,25mg,90,632726,7030,19.15,12116702.9,SAP_DSR
2023-07,2023,7,3,597015207,5970152,JARDIANCE,Jardiance,10mg,7,87049,12435,19.533,1700328.12,SAP_DSR
2023-07,2023,7,3,597015230,5970152,JARDIANCE,Jardiance,10mg,30,950177,31672,19.533,18559807.34,SAP_DSR
2023-07,2023,7,3,597015290,5970152,JARDIANCE,Jardiance,10mg,90,316835,3520,19.533,6188738.06,SAP_DSR
2023-07,2023,7,3,597015307,5970153,JARDIANCE,Jardiance,25mg,7,162294,23184,19.533,3170088.7,SAP_DSR
2023-07,2023,7,3,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1622571,54085,19.533,31693679.34,SAP_DSR
2023-07,2023,7,3,597015390,5970153,JARDIANCE,Jardiance,25mg,90,601005,6677,19.533,11739430.66,SAP_DSR
2023-08,2023,8,3,597015207,5970152,JARDIANCE,Jardiance,10mg,7,87115,12445,19.533,1701617.3,SAP_DSR
2023-08,2023,8,3,597015230,5970152,JARDIANCE,Jardiance,10mg,30,995412,33180,19.533,19443382.6,SAP_DSR
2023-08,2023,8,3,597015290,5970152,JARDIANCE,Jardiance,10mg,90,349002,3877,19.533,6817056.07,SAP_DSR
2023-08,2023,8,3,597015307,5970153,JARDIANCE,Jardiance,25mg,7,159231,22747,19.533,3110259.12,SAP_DSR
2023-08,2023,8,3,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1587515,52917,19.533,31008930.5,SAP_DSR
2023-08,2023,8,3,597015390,5970153,JARDIANCE,Jardiance,25mg,90,611716,6796,19.533,11948648.63,SAP_DSR
2023-09,2023,9,3,597015207,5970152,JARDIANCE,Jardiance,10mg,7,78436,11205,19.533,1532090.39,SAP_DSR
2023-09,2023,9,3,597015230,5970152,JARDIANCE,Jardiance,10mg,30,995385,33179,19.533,19442855.21,SAP_DSR
2023-09,2023,9,3,597015290,5970152,JARDIANCE,Jardiance,10mg,90,323605,3595,19.533,6320976.47,SAP_DSR
2023-09,2023,9,3,597015307,5970153,JARDIANCE,Jardiance,25mg,7,165566,23652,19.533,3234000.68,SAP_DSR
2023-09,2023,9,3,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1733101,57770,19.533,33852661.83,SAP_DSR
2023-09,2023,9,3,597015390,5970153,JARDIANCE,Jardiance,25mg,90,650321,7225,19.533,12702720.09,SAP_DSR
2023-10,2023,10,4,597015207,5970152,JARDIANCE,Jardiance,10mg,7,91846,13120,19.533,1794027.92,SAP_DSR
2023-10,2023,10,4,597015230,5970152,JARDIANCE,Jardiance,10mg,30,993513,33117,19.533,19406289.43,SAP_DSR
2023-10,2023,10,4,597015290,5970152,JARDIANCE,Jardiance,10mg,90,339765,3775,19.533,6636629.74,SAP_DSR
2023-10,2023,10,4,597015307,5970153,JARDIANCE,Jardiance,25mg,7,175461,25065,19.533,3427279.71,SAP_DSR
2023-10,2023,10,4,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1766842,58894,19.533,34511724.79,SAP_DSR
2023-10,2023,10,4,597015390,5970153,JARDIANCE,Jardiance,25mg,90,608022,6755,19.533,11876493.73,SAP_DSR
2023-11,2023,11,4,597015207,5970152,JARDIANCE,Jardiance,10mg,7,88277,12611,19.533,1724314.64,SAP_DSR
2023-11,2023,11,4,597015230,5970152,JARDIANCE,Jardiance,10mg,30,1129534,37651,19.533,22063187.62,SAP_DSR
2023-11,2023,11,4,597015290,5970152,JARDIANCE,Jardiance,10mg,90,411756,4575,19.533,8042829.95,SAP_DSR
2023-11,2023,11,4,597015307,5970153,JARDIANCE,Jardiance,25mg,7,189803,27114,19.533,3707422.0,SAP_DSR
2023-11,2023,11,4,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1877813,62593,19.533,36679321.33,SAP_DSR
2023-11,2023,11,4,597015390,5970153,JARDIANCE,Jardiance,25mg,90,633108,7034,19.533,12366498.56,SAP_DSR
2023-12,2023,12,4,597015207,5970152,JARDIANCE,Jardiance,10mg,7,99986,14283,19.533,1953026.54,SAP_DSR
2023-12,2023,12,4,597015230,5970152,JARDIANCE,Jardiance,10mg,30,1220026,40667,19.533,23830767.86,SAP_DSR
2023-12,2023,12,4,597015290,5970152,JARDIANCE,Jardiance,10mg,90,443399,4926,19.533,8660912.67,SAP_DSR
2023-12,2023,12,4,597015307,5970153,JARDIANCE,Jardiance,25mg,7,201696,28813,19.533,3939727.97,SAP_DSR
2023-12,2023,12,4,597015330,5970153,JARDIANCE,Jardiance,25mg,30,1987154,66238,19.533,38815079.08,SAP_DSR
